route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
290,X.441,5972907,1,9060,275992,
290,X.441,5972906,1,9070,275992,
290,X.441,5972905,1,9064,275992,
290,X.441,5972904,1,9069,275992,
290,X.441,5972903,1,9063,275992,
290,X.441,5972902,1,9067,275992,
290,X.441,5972901,1,9066,275992,
290,X.441,5972900,1,9061,275992,
290,X.441,5972899,1,9065,275992,
290,X.441,5972898,1,9062,275992,
290,X.441,5972897,1,9068,275992,
290,X.441,5972896,1,9060,275992,
290,X.441,5972895,1,9070,275992,
290,X.441,5972894,1,9064,275992,
290,X.441,5972893,1,9069,275992,
290,X.441,5972892,1,9063,275992,
290,X.441,5972891,1,9067,275992,
290,X.441,5972890,1,9066,275992,
290,X.441,5972889,1,9061,275992,
290,X.441,5972888,1,9065,275992,
290,X.441,5972887,1,9062,275992,
290,X.441,5972886,1,9068,275992,
290,X.441,5972885,1,9060,275992,
290,X.441,5972884,1,9070,275992,
290,X.441,5972883,1,9064,275992,
290,X.441,5972882,1,9069,275992,
290,X.441,5972881,1,9063,275992,
290,X.441,5972880,1,9067,275992,
290,X.441,5972879,1,9066,275992,
290,X.441,5972878,1,9061,275992,
290,X.441,5972877,1,9065,275992,
290,X.441,5972876,1,9062,275992,
290,X.441,5972875,1,9070,275990,
290,X.441,5972874,1,9068,275992,
290,X.441,5972873,1,9060,275992,
290,X.441,5972872,1,9069,275990,
290,X.441,5972871,1,9064,275992,
290,X.441,5972870,1,9067,275990,
290,X.441,5972869,1,9066,275990,
290,X.441,5972868,1,9063,275992,
290,X.441,5972867,1,9065,275990,
290,X.441,5972866,1,9061,275992,
290,X.441,5972865,1,9062,275992,
290,X.441,5972864,1,9060,275992,
290,X.441,5972863,1,9064,275992,
290,X.441,5972862,1,9063,275992,
290,X.441,5972861,1,9061,275992,
290,X.441,5972860,1,9060,275993,
290,X.441,5972859,1,9062,275992,
290,C.441,5972588,0,9070,275989,
290,C.441,5972587,0,9069,275989,
290,C.441,5972586,0,9067,275989,
290,C.441,5972585,0,9065,275989,
290,C.441,5972584,0,9068,275989,
290,C.441,5972583,0,9070,275989,
290,C.441,5972582,0,9069,275989,
290,C.441,5972581,0,9063,275989,
290,C.441,5972580,0,9067,275989,
290,C.441,5972579,0,9066,275989,
290,C.441,5972578,0,9061,275989,
290,C.441,5972577,0,9065,275989,
290,C.441,5972576,0,9062,275989,
290,C.441,5972575,0,9068,275989,
290,C.441,5972574,0,9060,275989,
290,C.441,5972573,0,9070,275989,
290,C.441,5972572,0,9064,275989,
290,C.441,5972571,0,9069,275989,
290,C.441,5972570,0,9063,275989,
290,C.441,5972569,0,9067,275989,
290,C.441,5972568,0,9066,275989,
290,C.441,5972567,0,9061,275989,
290,C.441,5972566,0,9065,275989,
290,C.441,5972565,0,9062,275989,
290,C.441,5972564,0,9068,275989,
290,C.441,5972563,0,9060,275989,
290,C.441,5972562,0,9070,275989,
290,C.441,5972561,0,9064,275989,
290,C.441,5972560,0,9069,275989,
290,C.441,5972559,0,9063,275989,
290,C.441,5972558,0,9067,275989,
290,C.441,5972557,0,9066,275989,
290,C.441,5972556,0,9061,275989,
290,C.441,5972555,0,9065,275989,
290,C.441,5972554,0,9062,275989,
290,C.441,5972553,0,9068,275989,
290,C.441,5972552,0,9060,275989,
290,C.441,5972551,0,9070,275989,
290,C.441,5972550,0,9064,275989,
290,C.441,5972549,0,9069,275989,
290,C.441,5972548,0,9063,275989,
290,C.441,5972547,0,9067,275989,
290,C.441,5972546,0,9066,275989,
290,C.441,5972545,0,9061,275989,
290,C.441,5972544,0,9065,275989,
290,C.441,5972543,0,9062,275989,
290,C.441,5972542,0,9068,275989,
290,C.441,5972541,0,9060,275989,
290,C.441,5972540,0,9070,275989,
290,C.441,5972539,0,9064,275989,
290,C.441,5972538,0,9069,275989,
290,C.441,5972537,0,9063,275989,
290,C.441,5972536,0,9067,275989,
290,C.441,5972535,0,9066,275989,
